溫度2，執行#1
時間 ( 秒 )	溫度2 ( °C )
0.0000	23.85
0.5000	23.85
1.0000	23.85
1.5000	23.85
2.0000	23.85
2.5000	23.85
3.0000	23.85
3.5000	23.83
4.0000	23.83
4.5000	23.82
5.0000	23.82
5.5000	23.80
6.0000	23.80
6.5000	23.79
7.0000	23.79
7.5000	23.77
8.0000	23.79
8.5000	23.81
9.0000	23.83
9.5000	23.88
10.0000	23.95
10.5000	24.02
11.0000	24.10
11.5000	24.19
12.0000	24.29
12.5000	24.38
13.0000	24.50
13.5000	24.60
14.0000	24.72
14.5000	24.85
15.0000	24.98
15.5000	25.08
16.0000	25.19
16.5000	25.29
17.0000	25.39
17.5000	25.50
18.0000	25.61
18.5000	25.71
19.0000	25.81
19.5000	25.92
20.0000	25.99
20.5000	26.08
21.0000	26.15
21.5000	26.21
22.0000	26.26
22.5000	26.32
23.0000	26.40
23.5000	26.48
24.0000	26.53
24.5000	26.58
25.0000	26.64
25.5000	26.70
26.0000	26.75
26.5000	26.83
27.0000	26.91
27.5000	26.97
28.0000	27.02
28.5000	27.06
29.0000	27.09
29.5000	27.13
30.0000	27.18
30.5000	27.21
31.0000	27.26
31.5000	27.30
32.0000	27.33
32.5000	27.35
33.0000	27.35
33.5000	27.37
34.0000	27.40
34.5000	27.43
35.0000	27.45
35.5000	27.46
36.0000	27.50
36.5000	27.52
37.0000	27.56
37.5000	27.56
38.0000	27.57
38.5000	27.60
39.0000	27.62
39.5000	27.67
40.0000	27.72
40.5000	27.74
41.0000	27.76
41.5000	27.77
42.0000	27.80
42.5000	27.81
43.0000	27.84
43.5000	27.86
44.0000	27.92
44.5000	27.97
45.0000	28.01
45.5000	28.01
46.0000	28.01
46.5000	28.02
47.0000	28.02
47.5000	28.02
48.0000	28.05
48.5000	28.07
49.0000	28.06
49.5000	28.05
50.0000	28.06
50.5000	28.10
51.0000	28.14
51.5000	28.16
52.0000	28.17
52.5000	28.20
53.0000	28.24
53.5000	28.28
54.0000	28.30
54.5000	28.28
55.0000	28.29
55.5000	28.29
56.0000	28.31
56.5000	28.36
57.0000	28.41
57.5000	28.45
58.0000	28.46
58.5000	28.46
59.0000	28.43
59.5000	28.39
60.0000	28.37
60.5000	28.38
61.0000	28.37
61.5000	28.38
62.0000	28.43
62.5000	28.42
63.0000	28.42
63.5000	28.43
64.0000	28.44
64.5000	28.47
65.0000	28.50
65.5000	28.52
66.0000	28.55
66.5000	28.58
67.0000	28.58
67.5000	28.58
68.0000	28.56
68.5000	28.53
69.0000	28.51
69.5000	28.51
70.0000	28.50
70.5000	28.54
71.0000	28.56
71.5000	28.54
72.0000	28.58
72.5000	28.60
73.0000	28.60
73.5000	28.60
74.0000	28.59
74.5000	28.59
75.0000	28.57
75.5000	28.54
76.0000	28.51
76.5000	28.50
77.0000	28.46
77.5000	28.43
78.0000	28.44
78.5000	28.45
79.0000	28.46
79.5000	28.47
80.0000	28.47
80.5000	28.47
81.0000	28.51
81.5000	28.56
82.0000	28.60
82.5000	28.59
83.0000	28.58
83.5000	28.58
84.0000	28.59
84.5000	28.58
85.0000	28.55
85.5000	28.54
86.0000	28.53
86.5000	28.52
87.0000	28.50
87.5000	28.48
88.0000	28.47
88.5000	28.47
89.0000	28.45
89.5000	28.45
90.0000	28.45
90.5000	28.46
91.0000	28.46
91.5000	28.46
92.0000	28.48
92.5000	28.51
93.0000	28.50
93.5000	28.51
94.0000	28.51
94.5000	28.52
95.0000	28.53
95.5000	28.52
96.0000	28.53
96.5000	28.53
97.0000	28.52
97.5000	28.52
98.0000	28.56
98.5000	28.59
99.0000	28.62
99.5000	28.63
100.0000	28.64
100.5000	28.66
101.0000	28.66
101.5000	28.66
102.0000	28.67
102.5000	28.69
103.0000	28.68
103.5000	28.68
104.0000	28.67
104.5000	28.66
105.0000	28.64
105.5000	28.62
106.0000	28.60
106.5000	28.59
107.0000	28.58
107.5000	28.55
108.0000	28.53
108.5000	28.52
109.0000	28.49
109.5000	28.49
110.0000	28.49
110.5000	28.55
111.0000	28.53
111.5000	28.55
112.0000	28.55
112.5000	28.59
113.0000	28.61
113.5000	28.61
114.0000	28.62
114.5000	28.60
115.0000	28.59
115.5000	28.58
116.0000	28.58
116.5000	28.58
117.0000	28.60
117.5000	28.61
118.0000	28.64
118.5000	28.67
119.0000	28.66
119.5000	28.65
120.0000	28.66
120.5000	28.66
121.0000	28.68
121.5000	28.68
122.0000	28.71
122.5000	28.72
123.0000	28.72
123.5000	28.70
124.0000	28.69
124.5000	28.68
125.0000	28.71
125.5000	28.75
126.0000	28.76
126.5000	28.77
127.0000	28.76
127.5000	28.75
128.0000	28.74
128.5000	28.71
129.0000	28.70
129.5000	28.70
130.0000	28.70
130.5000	28.70
131.0000	28.71
131.5000	28.71
132.0000	28.72
132.5000	28.73
133.0000	28.75
133.5000	28.80
134.0000	28.85
134.5000	28.91
135.0000	28.96
135.5000	29.01
136.0000	29.05
136.5000	29.09
137.0000	29.11
137.5000	29.13
138.0000	29.15
138.5000	29.16
139.0000	29.17
139.5000	29.19
140.0000	29.22
140.5000	29.24
141.0000	29.27
141.5000	29.28
142.0000	29.26
142.5000	29.24
143.0000	29.21
143.5000	29.18
144.0000	29.15
144.5000	29.10
145.0000	29.11
145.5000	29.13
146.0000	29.18
146.5000	29.18
147.0000	29.18
147.5000	29.18
148.0000	29.17
148.5000	29.14
149.0000	29.13
149.5000	29.15
150.0000	29.16
150.5000	29.14
151.0000	29.13
151.5000	29.10
152.0000	29.10
152.5000	29.08
153.0000	29.09
153.5000	29.10
154.0000	29.09
154.5000	29.10
155.0000	29.12
155.5000	29.15
156.0000	29.17
156.5000	29.16
157.0000	29.15
157.5000	29.14
158.0000	29.10
158.5000	29.04
159.0000	28.97
159.5000	28.92
160.0000	28.85
160.5000	28.79
161.0000	28.73
161.5000	28.67
162.0000	28.60
162.5000	28.52
163.0000	28.46
163.5000	28.38
164.0000	28.32
164.5000	28.22
165.0000	28.15
165.5000	28.08
166.0000	28.02
166.5000	27.94
167.0000	27.86
167.5000	27.78
168.0000	27.68
168.5000	27.58
169.0000	27.51
169.5000	27.43
170.0000	27.36
170.5000	27.26
171.0000	27.18
171.5000	27.11
172.0000	27.04
172.5000	26.98
173.0000	26.91
173.5000	26.86
174.0000	26.82
174.5000	26.79
175.0000	26.74
175.5000	26.71
176.0000	26.69
176.5000	26.63
177.0000	26.59
177.5000	26.55
178.0000	26.49
178.5000	26.44
179.0000	26.40
179.5000	26.37
180.0000	26.34
180.5000	26.31
181.0000	26.26
181.5000	26.22
182.0000	26.20
182.5000	26.17
183.0000	26.13
183.5000	26.10
184.0000	26.08
184.5000	26.04
185.0000	26.01
185.5000	25.98
186.0000	25.97
186.5000	25.95
187.0000	25.93
187.5000	25.91
188.0000	25.88
188.5000	25.87
189.0000	25.84
189.5000	25.82
190.0000	25.81
190.5000	25.80
191.0000	25.78
191.5000	25.78
192.0000	25.78
192.5000	25.77
193.0000	25.76
193.5000	25.75
194.0000	25.74
194.5000	25.73
195.0000	25.69
195.5000	25.67
196.0000	25.65
196.5000	25.64
197.0000	25.63
197.5000	25.61
198.0000	25.61
198.5000	25.61
199.0000	25.60
199.5000	25.61
200.0000	25.60
200.5000	25.58
201.0000	25.57
201.5000	25.56
202.0000	25.56
202.5000	25.56
203.0000	25.55
203.5000	25.54
204.0000	25.54
204.5000	25.54
205.0000	25.54
205.5000	25.55
206.0000	25.54
206.5000	25.51
207.0000	25.48
207.5000	25.47
208.0000	25.45
208.5000	25.44
209.0000	25.44
209.5000	25.43
210.0000	25.42
210.5000	25.41
211.0000	25.41
211.5000	25.41
212.0000	25.41
212.5000	25.41
213.0000	25.40
213.5000	25.39
214.0000	25.39
214.5000	25.39
215.0000	25.39
215.5000	25.38
216.0000	25.36
216.5000	25.32
217.0000	25.31
217.5000	25.30
218.0000	25.28
218.5000	25.27
219.0000	25.26
219.5000	25.25
220.0000	25.24
220.5000	25.24
221.0000	25.23
221.5000	25.22
222.0000	25.21
222.5000	25.20
223.0000	25.21
223.5000	25.22
224.0000	25.22
224.5000	25.22
225.0000	25.23
225.5000	25.22
226.0000	25.22
226.5000	25.23
227.0000	25.24
227.5000	25.24
228.0000	25.25
228.5000	25.26
229.0000	25.26
229.5000	25.27
230.0000	25.28
230.5000	25.28
231.0000	25.29
231.5000	25.28
232.0000	25.29
232.5000	25.29
233.0000	25.29
233.5000	25.29
234.0000	25.29
234.5000	25.30
235.0000	25.30
235.5000	25.30
236.0000	25.30
236.5000	25.30
237.0000	25.30
237.5000	25.29
238.0000	25.29
238.5000	25.27
239.0000	25.26
239.5000	25.26
240.0000	25.25
240.5000	25.26
241.0000	25.26
241.5000	25.25
242.0000	25.23
242.5000	25.23
243.0000	25.22
243.5000	25.21
244.0000	25.21
244.5000	25.21
245.0000	25.19
245.5000	25.20
246.0000	25.19
246.5000	25.19
247.0000	25.17
247.5000	25.15
248.0000	25.15
248.5000	25.14
249.0000	25.13
249.5000	25.12
250.0000	25.11
250.5000	25.12
251.0000	25.10
251.5000	25.11
252.0000	25.10
252.5000	25.10
253.0000	25.09
253.5000	25.08
254.0000	25.08
254.5000	25.07
255.0000	25.08
255.5000	25.08
256.0000	25.09
256.5000	25.09
257.0000	25.06
257.5000	25.04
258.0000	25.03
258.5000	25.02
259.0000	25.01
259.5000	25.00
260.0000	24.99
260.5000	24.98
261.0000	24.98
261.5000	24.98
262.0000	24.97
262.5000	24.98
263.0000	24.97
263.5000	24.97
264.0000	24.96
264.5000	24.97
265.0000	24.96
265.5000	24.97
266.0000	24.99
266.5000	24.99
267.0000	24.99
267.5000	25.00
268.0000	25.01
268.5000	25.00
269.0000	25.00
269.5000	24.99
270.0000	24.99
270.5000	24.97
271.0000	24.97
271.5000	24.97
272.0000	24.98
272.5000	24.98
273.0000	24.99
273.5000	24.99
274.0000	24.99
274.5000	24.99
275.0000	24.98
275.5000	24.99
276.0000	24.98
276.5000	24.96
277.0000	24.94
277.5000	24.95
278.0000	24.96
278.5000	24.97
279.0000	24.96
279.5000	24.96
280.0000	24.96
280.5000	24.96
281.0000	24.96
281.5000	24.96
282.0000	24.97
282.5000	24.96
283.0000	24.97
283.5000	24.97
284.0000	24.97
284.5000	24.98
285.0000	24.98
285.5000	24.97
286.0000	24.98
286.5000	24.98
287.0000	24.97
287.5000	24.98
288.0000	24.97
288.5000	24.97
289.0000	24.96
289.5000	24.96
290.0000	24.96
290.5000	24.95
291.0000	24.96
291.5000	24.95
292.0000	24.95
292.5000	24.94
293.0000	24.94
293.5000	24.95
294.0000	24.94
294.5000	24.94
295.0000	24.93
295.5000	24.92
296.0000	24.90
296.5000	24.88
297.0000	24.86
297.5000	24.84
298.0000	24.84
298.5000	24.84
299.0000	24.85
299.5000	24.83
300.0000	24.83
300.5000	24.83
301.0000	24.82
301.5000	24.83
302.0000	24.83
302.5000	24.84
303.0000	24.85
