溫度8，執行#1
時間 ( 秒 )	溫度8 ( °C )
0.0000	23.26
0.5000	23.25
1.0000	23.26
1.5000	23.26
2.0000	23.26
2.5000	23.26
3.0000	23.26
3.5000	23.26
4.0000	23.26
4.5000	23.26
5.0000	23.26
5.5000	23.26
6.0000	23.26
6.5000	23.27
7.0000	23.27
7.5000	23.26
8.0000	23.27
8.5000	23.26
9.0000	23.26
9.5000	23.27
10.0000	23.26
10.5000	23.26
11.0000	23.26
11.5000	23.26
12.0000	23.26
12.5000	23.25
13.0000	23.26
13.5000	23.25
14.0000	23.26
14.5000	23.26
15.0000	23.26
15.5000	23.26
16.0000	23.26
16.5000	23.26
17.0000	23.26
17.5000	23.26
18.0000	23.25
18.5000	23.26
19.0000	23.26
19.5000	23.26
20.0000	23.25
20.5000	23.25
21.0000	23.25
21.5000	23.26
22.0000	23.26
22.5000	23.26
23.0000	23.26
23.5000	23.26
24.0000	23.26
24.5000	23.26
25.0000	23.26
25.5000	23.26
26.0000	23.26
26.5000	23.26
27.0000	23.26
27.5000	23.27
28.0000	23.27
28.5000	23.26
29.0000	23.27
29.5000	23.27
30.0000	23.27
30.5000	23.27
31.0000	23.28
31.5000	23.28
32.0000	23.28
32.5000	23.28
33.0000	23.28
33.5000	23.28
34.0000	23.28
34.5000	23.28
35.0000	23.28
35.5000	23.28
36.0000	23.29
36.5000	23.29
37.0000	23.29
37.5000	23.29
38.0000	23.29
38.5000	23.30
39.0000	23.30
39.5000	23.30
40.0000	23.30
40.5000	23.31
41.0000	23.31
41.5000	23.30
42.0000	23.31
42.5000	23.31
43.0000	23.31
43.5000	23.31
44.0000	23.32
44.5000	23.32
45.0000	23.31
45.5000	23.32
46.0000	23.32
46.5000	23.32
47.0000	23.32
47.5000	23.33
48.0000	23.32
48.5000	23.33
49.0000	23.33
49.5000	23.33
50.0000	23.33
50.5000	23.34
51.0000	23.34
51.5000	23.34
52.0000	23.35
52.5000	23.34
53.0000	23.35
53.5000	23.35
54.0000	23.35
54.5000	23.35
55.0000	23.35
55.5000	23.36
56.0000	23.35
56.5000	23.36
57.0000	23.36
57.5000	23.36
58.0000	23.37
58.5000	23.37
59.0000	23.37
59.5000	23.37
60.0000	23.38
60.5000	23.38
61.0000	23.38
61.5000	23.38
62.0000	23.39
62.5000	23.39
63.0000	23.40
63.5000	23.39
64.0000	23.39
64.5000	23.40
65.0000	23.40
65.5000	23.39
66.0000	23.40
66.5000	23.40
67.0000	23.41
67.5000	23.41
68.0000	23.41
68.5000	23.41
69.0000	23.41
69.5000	23.41
70.0000	23.41
70.5000	23.42
71.0000	23.42
71.5000	23.42
72.0000	23.42
72.5000	23.43
73.0000	23.42
73.5000	23.43
74.0000	23.43
74.5000	23.44
75.0000	23.44
75.5000	23.44
76.0000	23.44
76.5000	23.45
77.0000	23.45
77.5000	23.45
78.0000	23.45
78.5000	23.45
79.0000	23.46
79.5000	23.46
80.0000	23.46
80.5000	23.46
81.0000	23.46
81.5000	23.47
82.0000	23.47
82.5000	23.48
83.0000	23.47
83.5000	23.48
84.0000	23.48
84.5000	23.48
85.0000	23.48
85.5000	23.48
86.0000	23.49
86.5000	23.49
87.0000	23.49
87.5000	23.49
88.0000	23.50
88.5000	23.50
89.0000	23.50
89.5000	23.50
90.0000	23.50
90.5000	23.50
91.0000	23.51
91.5000	23.50
92.0000	23.51
92.5000	23.51
93.0000	23.51
93.5000	23.51
94.0000	23.52
94.5000	23.51
95.0000	23.52
95.5000	23.52
96.0000	23.52
96.5000	23.52
97.0000	23.53
97.5000	23.53
98.0000	23.53
98.5000	23.53
99.0000	23.54
99.5000	23.53
100.0000	23.55
100.5000	23.54
101.0000	23.55
101.5000	23.55
102.0000	23.55
102.5000	23.55
103.0000	23.55
103.5000	23.56
104.0000	23.56
104.5000	23.56
105.0000	23.57
105.5000	23.56
106.0000	23.57
106.5000	23.57
107.0000	23.57
107.5000	23.58
108.0000	23.58
108.5000	23.59
109.0000	23.59
109.5000	23.59
110.0000	23.59
110.5000	23.60
111.0000	23.59
111.5000	23.60
112.0000	23.60
112.5000	23.60
113.0000	23.61
113.5000	23.61
114.0000	23.61
114.5000	23.61
115.0000	23.62
115.5000	23.62
116.0000	23.62
116.5000	23.62
117.0000	23.62
117.5000	23.63
118.0000	23.63
118.5000	23.63
119.0000	23.63
119.5000	23.63
120.0000	23.64
120.5000	23.64
121.0000	23.64
121.5000	23.65
122.0000	23.65
122.5000	23.65
123.0000	23.65
123.5000	23.65
124.0000	23.65
124.5000	23.66
125.0000	23.66
125.5000	23.66
126.0000	23.67
126.5000	23.67
127.0000	23.67
127.5000	23.67
128.0000	23.68
128.5000	23.68
129.0000	23.68
129.5000	23.68
130.0000	23.69
130.5000	23.69
131.0000	23.70
131.5000	23.70
132.0000	23.70
132.5000	23.70
133.0000	23.70
133.5000	23.71
134.0000	23.71
134.5000	23.71
135.0000	23.71
135.5000	23.72
136.0000	23.72
136.5000	23.72
137.0000	23.72
137.5000	23.72
138.0000	23.73
138.5000	23.73
139.0000	23.74
139.5000	23.73
140.0000	23.74
140.5000	23.74
141.0000	23.74
141.5000	23.74
142.0000	23.74
142.5000	23.75
143.0000	23.75
143.5000	23.76
144.0000	23.76
144.5000	23.76
145.0000	23.76
145.5000	23.76
146.0000	23.76
146.5000	23.77
147.0000	23.77
147.5000	23.77
148.0000	23.77
148.5000	23.78
149.0000	23.78
149.5000	23.78
150.0000	23.78
150.5000	23.78
151.0000	23.78
151.5000	23.79
152.0000	23.79
152.5000	23.79
153.0000	23.80
153.5000	23.80
154.0000	23.80
154.5000	23.80
155.0000	23.80
155.5000	23.81
156.0000	23.81
156.5000	23.81
157.0000	23.81
157.5000	23.81
158.0000	23.82
158.5000	23.82
159.0000	23.82
159.5000	23.82
160.0000	23.83
160.5000	23.83
161.0000	23.83
161.5000	23.83
162.0000	23.83
162.5000	23.84
163.0000	23.84
163.5000	23.85
164.0000	23.85
164.5000	23.85
165.0000	23.85
165.5000	23.85
166.0000	23.85
166.5000	23.85
167.0000	23.86
167.5000	23.86
168.0000	23.86
168.5000	23.87
169.0000	23.87
169.5000	23.88
170.0000	23.87
170.5000	23.88
171.0000	23.88
171.5000	23.88
172.0000	23.88
172.5000	23.88
173.0000	23.89
173.5000	23.89
174.0000	23.89
174.5000	23.89
175.0000	23.90
175.5000	23.90
176.0000	23.90
176.5000	23.90
177.0000	23.91
177.5000	23.91
178.0000	23.91
178.5000	23.91
179.0000	23.91
179.5000	23.91
180.0000	23.92
180.5000	23.92
181.0000	23.92
181.5000	23.92
182.0000	23.93
182.5000	23.93
183.0000	23.93
183.5000	23.93
184.0000	23.94
184.5000	23.94
185.0000	23.94
185.5000	23.94
186.0000	23.95
186.5000	23.95
187.0000	23.95
187.5000	23.96
188.0000	23.95
188.5000	23.95
189.0000	23.96
189.5000	23.96
190.0000	23.96
190.5000	23.96
191.0000	23.97
191.5000	23.97
192.0000	23.98
192.5000	23.97
193.0000	23.98
193.5000	23.98
194.0000	23.98
194.5000	23.99
195.0000	23.98
195.5000	23.99
196.0000	23.99
196.5000	23.99
197.0000	23.99
197.5000	24.00
198.0000	24.00
198.5000	24.00
199.0000	24.00
199.5000	24.01
200.0000	24.01
200.5000	24.01
201.0000	24.02
201.5000	24.01
202.0000	24.02
202.5000	24.02
203.0000	24.02
203.5000	24.03
204.0000	24.03
204.5000	24.03
205.0000	24.03
205.5000	24.03
206.0000	24.03
206.5000	24.04
207.0000	24.04
207.5000	24.04
208.0000	24.04
208.5000	24.04
209.0000	24.05
209.5000	24.04
210.0000	24.05
210.5000	24.05
211.0000	24.05
211.5000	24.06
212.0000	24.06
212.5000	24.06
213.0000	24.07
213.5000	24.07
214.0000	24.07
214.5000	24.07
215.0000	24.08
215.5000	24.08
216.0000	24.08
216.5000	24.08
217.0000	24.08
217.5000	24.09
218.0000	24.09
218.5000	24.10
219.0000	24.09
219.5000	24.09
220.0000	24.10
220.5000	24.10
221.0000	24.10
221.5000	24.10
222.0000	24.10
222.5000	24.10
223.0000	24.11
223.5000	24.11
224.0000	24.11
224.5000	24.12
225.0000	24.12
225.5000	24.12
226.0000	24.12
226.5000	24.13
227.0000	24.13
227.5000	24.13
228.0000	24.13
228.5000	24.13
229.0000	24.13
229.5000	24.14
230.0000	24.14
230.5000	24.14
231.0000	24.14
231.5000	24.14
232.0000	24.15
232.5000	24.15
233.0000	24.15
233.5000	24.15
234.0000	24.16
234.5000	24.15
235.0000	24.16
235.5000	24.16
236.0000	24.16
236.5000	24.16
237.0000	24.17
237.5000	24.17
238.0000	24.17
238.5000	24.18
239.0000	24.18
239.5000	24.17
240.0000	24.18
240.5000	24.18
241.0000	24.18
241.5000	24.18
242.0000	24.18
242.5000	24.19
243.0000	24.19
243.5000	24.19
244.0000	24.20
244.5000	24.20
245.0000	24.20
245.5000	24.20
246.0000	24.20
246.5000	24.20
247.0000	24.21
247.5000	24.21
248.0000	24.21
248.5000	24.21
249.0000	24.22
249.5000	24.21
250.0000	24.22
250.5000	24.22
251.0000	24.22
251.5000	24.22
252.0000	24.23
252.5000	24.22
253.0000	24.23
253.5000	24.23
254.0000	24.23
254.5000	24.24
255.0000	24.24
255.5000	24.24
256.0000	24.24
256.5000	24.24
257.0000	24.25
257.5000	24.25
258.0000	24.25
258.5000	24.25
259.0000	24.25
259.5000	24.25
260.0000	24.25
260.5000	24.26
261.0000	24.26
261.5000	24.26
262.0000	24.27
262.5000	24.26
263.0000	24.26
263.5000	24.27
264.0000	24.27
264.5000	24.27
265.0000	24.28
265.5000	24.28
266.0000	24.28
266.5000	24.28
267.0000	24.28
267.5000	24.28
268.0000	24.29
268.5000	24.29
269.0000	24.29
269.5000	24.29
270.0000	24.28
270.5000	24.29
271.0000	24.29
271.5000	24.30
272.0000	24.29
272.5000	24.30
273.0000	24.30
273.5000	24.30
274.0000	24.30
274.5000	24.31
275.0000	24.31
275.5000	24.31
276.0000	24.31
276.5000	24.32
277.0000	24.31
277.5000	24.32
278.0000	24.32
278.5000	24.32
